1         2         3         
1         3         4         
5         6         2         
1         5         2         
1         4         7         
1         7         5         
7         4         8         
6         5         9         
10        6         9         
9         5         11        
11        5         12        
7         12        5         
13        8         14        
8         13        7         
12        7         13        
11        15        9         
9         16        10        
15        16        9         
16        17        10        
18        15        11        
19        11        12        
19        18        11        
20        14        21        
13        14        20        
20        22        13        
13        22        12        
19        12        22        
21        23        24        
24        20        21        
18        25        15        
26        25        18        
15        27        16        
25        27        15        
28        29        17        
17        16        28        
27        28        16        
19        22        30        
19        30        18        
26        18        30        
20        24        31        
22        20        31        
31        30        22        
23        32        33        
33        24        23        
34        24        33        
34        31        24        
26        30        35        
36        33        32        
37        38        29        
29        28        37        
26        39        25        
26        35        39        
25        40        27        
25        39        40        
41        37        28        
28        27        41        
40        41        27        
34        42        31        
31        42        30        
35        30        42        
33        36        43        
34        33        43        
34        43        42        
44        35        42        
45        35        44        
45        39        35        
46        39        47        
45        47        39        
43        36        48        
49        50        38        
38        37        49        
51        49        37        
37        41        51        
52        40        39        
46        52        39        
53        51        41        
41        40        53        
52        53        40        
46        54        52        
48        55        43        
42        43        55        
44        42        55        
44        55        56        
45        56        47        
45        44        56        
46        47        57        
46        57        54        
58        47        56        
58        57        47        
59        55        48        
60        61        50        
50        49        60        
62        60        49        
49        51        62        
63        62        51        
51        53        63        
63        53        64        
54        64        52        
53        52        64        
65        54        57        
66        54        65        
54        66        64        
55        59        67        
56        55        67        
56        67        58        
58        67        68        
57        68        65        
58        68        57        
69        65        68        
70        67        59        
60        71        61        
72        71        60        
62        72        60        
72        62        73        
63        73        62        
73        63        74        
64        74        63        
75        74        64        
75        64        66        
65        69        76        
76        66        65        
77        66        76        
75        66        77        
78        76        69        
67        70        79        
68        67        79        
68        79        69        
80        69        79        
80        78        69        
81        78        80        
82        79        70        
72        83        71        
83        72        84        
73        84        72        
84        73        85        
74        85        73        
74        86        85        
75        86        74        
77        86        75        
76        78        87        
77        87        86        
77        76        87        
81        88        78        
88        87        78        
79        82        89        
80        79        89        
80        89        81        
81        89        90        
81        90        88        
91        89        82        
84        92        83        
92        84        93        
85        93        84        
93        85        94        
85        86        94        
95        94        86        
87        95        86        
96        95        87        
88        96        87        
97        96        88        
97        88        90        
98        97        90        
89        91        99        
90        89        99        
90        99        98        
100       99        91        
93        101       92        
101       93        102       
94        102       93        
102       94        103       
95        103       94        
103       95        104       
96        104       95        
97        98        105       
105       104       96        
97        105       96        
106       98        99        
106       107       98        
105       98        107       
99        100       108       
106       99        108       
109       108       100       
102       110       101       
110       102       111       
103       111       102       
111       103       112       
104       112       103       
104       113       112       
105       113       104       
107       113       105       
106       108       114       
106       114       107       
115       107       114       
115       113       107       
116       114       108       
108       109       117       
116       108       117       
118       117       109       
111       119       110       
119       111       120       
112       120       111       
120       112       121       
121       112       113       
122       121       113       
115       122       113       
115       123       122       
116       123       114       
115       114       123       
116       117       124       
124       123       116       
124       117       125       
117       118       126       
125       117       126       
127       125       126       
128       126       118       
120       129       119       
129       120       130       
121       130       120       
130       121       131       
122       131       121       
132       131       122       
122       123       132       
124       133       123       
133       132       123       
124       125       133       
134       125       127       
134       133       125       
135       134       127       
135       127       136       
127       126       137       
136       127       137       
138       128       139       
128       138       126       
137       126       138       
140       138       139       
140       139       141       
130       142       129       
142       130       143       
131       143       130       
143       131       144       
132       144       131       
145       144       132       
132       133       145       
135       146       134       
134       146       133       
146       145       133       
135       147       146       
135       136       147       
136       137       148       
136       148       147       
140       149       138       
138       149       137       
148       137       149       
140       141       150       
140       150       149       
143       151       142       
151       143       152       
144       152       143       
152       144       153       
145       153       144       
154       153       145       
154       145       146       
147       155       146       
154       146       155       
147       148       156       
147       156       155       
148       149       157       
148       157       156       
150       158       149       
157       149       158       
152       159       151       
159       152       160       
153       160       152       
153       161       160       
154       161       153       
154       155       161       
156       162       155       
155       162       161       
156       157       163       
156       163       162       
164       157       158       
157       164       163       
159       160       165       
166       165       160       
160       161       166       
167       166       161       
167       161       162       
167       162       168       
169       162       163       
168       162       169       
170       163       164       
170       169       163       
165       166       171       
166       172       171       
167       172       166       
168       172       167       
168       169       173       
168       173       172       
169       170       174       
174       173       169       
171       172       175       
173       176       172       
176       175       172       
173       174       177       
173       177       176       
178       175       176       
177       179       176       
176       179       178       
180       178       179       
