1         2         3         
1         3         4         
5         6         2         
1         5         2         
1         4         7         
1         7         5         
8         7         4         
9         10        6         
6         5         9         
9         5         11        
5         7         11        
12        11        7         
8         13        7         
12        7         13        
13        8         14        
15        16        10        
10        9         15        
17        15        9         
9         11        17        
17        11        18        
12        18        11        
12        13        19        
12        19        18        
20        14        21        
14        20        13        
20        19        13        
22        23        16        
16        15        22        
24        22        15        
15        17        24        
25        24        17        
25        17        18        
23        22        26        
26        27        23        
28        21        29        
21        28        20        
30        25        18        
19        31        18        
30        18        31        
32        20        28        
19        20        32        
31        19        32        
33        26        22        
22        24        33        
34        33        24        
24        25        34        
35        34        25        
30        35        25        
26        33        36        
27        26        37        
36        37        26        
37        38        27        
39        29        40        
29        39        28        
41        28        39        
28        41        32        
30        31        42        
30        42        35        
43        32        41        
31        32        43        
31        43        42        
44        36        33        
33        34        44        
45        44        34        
34        35        45        
46        45        35        
46        35        42        
36        44        47        
37        36        48        
47        48        36        
38        37        49        
48        49        37        
49        50        38        
51        40        52        
40        51        39        
53        39        51        
39        53        41        
54        46        42        
55        41        53        
41        55        43        
56        43        55        
56        42        43        
54        42        56        
57        47        44        
44        45        57        
58        57        45        
45        46        58        
59        58        46        
54        59        46        
60        52        61        
52        60        51        
62        63        61        
60        61        63        
64        62        65        
64        63        62        
64        65        66        
47        57        67        
48        47        68        
67        68        47        
49        48        69        
68        69        48        
50        49        70        
69        70        49        
70        71        50        
72        51        60        
51        72        53        
73        53        72        
53        73        55        
54        56        74        
54        74        59        
55        73        75        
75        56        55        
56        75        74        
76        59        74        
77        67        57        
57        58        77        
58        78        77        
59        78        58        
76        78        59        
79        60        63        
79        72        60        
80        79        63        
64        66        81        
64        81        63        
80        63        81        
82        81        66        
67        77        83        
68        67        84        
83        84        67        
69        68        85        
84        85        68        
70        69        86        
85        86        69        
71        70        87        
86        87        70        
87        88        71        
89        72        79        
72        89        73        
73        89        90        
90        75        73        
76        74        91        
92        75        90        
75        92        74        
91        74        92        
76        91        93        
76        93        78        
94        93        91        
95        83        77        
77        78        95        
96        95        78        
93        96        78        
80        81        97        
80        97        79        
79        97        89        
82        98        81        
97        81        98        
98        82        99        
83        95        100       
84        83        101       
100       101       83        
85        84        102       
101       102       84        
86        85        103       
102       103       85        
87        86        104       
103       104       86        
88        87        105       
104       105       87        
105       106       88        
89        97        107       
107       90        89        
108       90        107       
108       92        90        
109       91        92        
94        91        109       
110       92        108       
110       109       92        
94        111       93        
93        111       96        
94        109       112       
94        112       111       
113       96        111       
95        114       100       
96        114       95        
113       114       96        
98        115       97        
115       107       97        
99        116       98        
116       115       98        
116       99        117       
118       100       114       
101       100       119       
118       119       100       
102       101       120       
119       120       101       
103       102       121       
120       121       102       
104       103       122       
121       122       103       
105       104       123       
122       123       104       
106       105       124       
123       124       105       
124       125       106       
107       115       126       
108       107       126       
110       108       126       
110       126       127       
110       127       109       
112       109       127       
112       128       111       
111       128       113       
129       112       127       
129       128       112       
130       114       113       
113       131       130       
131       113       128       
130       132       114       
132       118       114       
133       118       132       
134       132       130       
116       135       115       
135       126       115       
117       136       116       
136       135       116       
136       117       137       
118       138       119       
133       138       118       
133       139       138       
140       138       139       
120       119       141       
119       138       141       
121       120       142       
141       142       120       
122       121       143       
142       143       121       
123       122       144       
143       144       122       
124       123       145       
144       145       123       
125       124       146       
145       146       124       
146       147       125       
126       135       148       
127       126       148       
129       127       148       
129       148       149       
128       149       131       
129       149       128       
150       130       131       
134       130       150       
151       131       149       
131       151       150       
134       152       132       
133       152       139       
133       132       152       
134       153       152       
150       153       134       
154       139       152       
136       155       135       
155       148       135       
137       156       136       
156       155       136       
156       137       157       
139       154       158       
140       139       158       
159       141       138       
140       159       138       
140       160       159       
140       158       160       
142       141       161       
159       161       141       
143       142       162       
161       162       142       
144       143       163       
162       163       143       
145       144       164       
163       164       144       
146       145       165       
164       165       145       
147       146       166       
165       166       146       
166       167       147       
148       155       168       
149       148       168       
151       149       168       
151       168       169       
150       169       153       
151       169       150       
170       152       153       
152       170       154       
171       153       169       
153       171       170       
172       158       154       
172       154       173       
173       154       170       
174       158       172       
175       174       172       
156       176       155       
176       168       155       
157       177       156       
177       176       156       
177       157       178       
179       180       174       
174       180       158       
181       160       158       
181       158       180       
161       159       182       
160       182       159       
183       182       160       
181       183       160       
162       161       184       
182       184       161       
162       185       163       
185       162       184       
163       186       164       
186       163       185       
164       187       165       
187       164       186       
165       188       166       
188       165       187       
166       189       167       
189       166       188       
167       189       190       
168       176       191       
169       168       191       
171       169       191       
171       191       192       
173       170       192       
171       192       170       
193       172       173       
175       172       193       
194       173       192       
193       173       194       
175       195       174       
179       174       195       
175       196       195       
196       175       193       
177       197       176       
197       191       176       
178       198       177       
198       197       177       
199       198       178       
195       200       201       
179       195       201       
179       201       202       
179       202       180       
183       181       203       
181       180       203       
202       203       180       
183       203       204       
183       204       182       
182       204       184       
184       205       185       
184       204       205       
185       206       186       
206       185       205       
186       207       187       
207       186       206       
187       208       188       
208       187       207       
188       209       189       
209       188       208       
189       210       190       
210       189       209       
191       197       211       
192       191       211       
194       192       211       
194       211       212       
193       212       196       
194       212       193       
196       213       195       
200       195       213       
214       196       212       
213       196       214       
213       215       200       
198       216       197       
216       211       197       
199       217       198       
217       216       198       
218       217       199       
219       200       215       
201       200       220       
200       219       220       
201       220       221       
202       221       203       
202       201       221       
203       222       204       
221       222       203       
205       204       223       
222       223       204       
205       224       206       
224       205       223       
206       225       207       
225       206       224       
207       226       208       
226       207       225       
208       227       209       
227       208       226       
209       228       210       
228       209       227       
216       229       211       
212       211       229       
214       212       229       
214       229       230       
215       213       230       
214       230       213       
231       219       215       
232       215       230       
231       215       232       
217       233       216       
233       229       216       
218       234       217       
234       233       217       
235       234       218       
236       219       231       
231       237       236       
236       238       219       
238       220       219       
220       239       221       
220       238       239       
221       240       222       
240       221       239       
222       241       223       
241       222       240       
223       242       224       
242       223       241       
224       243       225       
243       224       242       
225       244       226       
244       225       243       
226       245       227       
245       226       244       
227       246       228       
246       227       245       
233       247       229       
230       229       247       
232       230       247       
232       247       248       
237       231       248       
232       248       231       
249       237       248       
234       250       233       
250       247       233       
235       251       234       
251       250       234       
252       251       235       
237       249       253       
237       253       254       
236       237       254       
236       254       238       
238       254       255       
255       239       238       
239       256       240       
256       239       255       
240       257       241       
257       240       256       
241       258       242       
258       241       257       
242       259       243       
259       242       258       
243       260       244       
260       243       259       
244       261       245       
261       244       260       
245       262       246       
262       245       261       
250       263       247       
248       247       263       
249       248       263       
249       263       264       
265       253       264       
249       264       253       
266       265       264       
251       267       250       
267       263       250       
252       268       251       
268       267       251       
269       268       252       
270       265       266       
271       254       253       
265       271       253       
265       270       272       
272       271       265       
271       273       254       
273       255       254       
255       274       256       
273       274       255       
256       275       257       
275       256       274       
257       276       258       
276       257       275       
258       277       259       
277       258       276       
259       278       260       
278       259       277       
260       279       261       
279       260       278       
261       280       262       
280       261       279       
267       281       263       
264       263       281       
266       264       281       
266       281       282       
266       282       270       
268       283       267       
283       281       267       
284       285       269       
269       285       268       
285       283       268       
286       287       282       
287       270       282       
288       272       270       
270       287       288       
288       289       272       
273       290       274       
273       271       290       
271       272       290       
289       290       272       
274       291       275       
274       290       291       
275       292       276       
275       291       292       
276       293       277       
293       276       292       
277       294       278       
294       277       293       
278       295       279       
295       278       294       
279       296       280       
296       279       295       
283       297       281       
282       281       297       
286       282       297       
286       297       298       
299       300       284       
284       300       285       
300       301       285       
285       301       283       
301       297       283       
287       286       302       
286       298       302       
303       304       298       
304       302       298       
287       302       305       
288       287       305       
288       305       289       
289       306       290       
289       305       306       
307       291       290       
306       307       290       
308       292       291       
291       307       308       
292       309       293       
292       308       309       
293       310       294       
310       293       309       
294       311       295       
311       294       310       
295       312       296       
312       295       311       
301       313       297       
298       297       313       
303       298       313       
314       315       299       
299       315       300       
315       316       300       
300       316       301       
316       313       301       
303       313       317       
304       303       318       
303       317       318       
319       305       302       
304       319       302       
318       320       304       
320       319       304       
319       321       305       
305       321       306       
306       322       307       
322       306       321       
323       308       307       
323       307       322       
324       309       308       
308       323       324       
309       325       310       
325       309       324       
310       326       311       
326       310       325       
311       327       312       
327       311       326       
328       329       314       
314       329       315       
316       330       313       
317       313       330       
329       331       315       
315       331       316       
331       330       316       
332       317       330       
332       330       333       
332       334       317       
318       317       334       
320       318       335       
318       334       335       
320       335       336       
319       336       321       
320       336       319       
321       337       322       
321       336       337       
322       338       323       
338       322       337       
323       339       324       
339       323       338       
324       340       325       
340       324       339       
325       341       326       
341       325       340       
326       342       327       
342       326       341       
343       344       328       
328       344       329       
344       345       329       
329       345       331       
345       346       331       
331       346       330       
333       330       346       
347       333       346       
334       332       348       
332       333       348       
347       349       333       
349       348       333       
348       350       334       
335       334       350       
335       351       336       
350       351       335       
352       337       336       
351       352       336       
337       353       338       
337       352       353       
338       354       339       
354       338       353       
339       355       340       
355       339       354       
340       356       341       
356       340       355       
341       357       342       
357       341       356       
358       359       343       
343       359       344       
360       358       361       
358       360       359       
345       362       346       
359       363       344       
344       363       345       
363       362       345       
364       346       362       
347       346       364       
365       364       362       
365       362       366       
349       347       367       
347       364       367       
350       348       368       
349       368       348       
367       369       349       
369       368       349       
368       370       350       
350       370       351       
351       371       352       
371       351       370       
353       352       372       
371       372       352       
353       373       354       
373       353       372       
354       374       355       
374       354       373       
355       375       356       
375       355       374       
356       376       357       
376       356       375       
377       361       378       
361       377       360       
359       360       379       
359       379       363       
380       360       377       
380       379       360       
379       381       363       
363       381       362       
366       362       381       
382       366       381       
365       383       364       
367       364       383       
383       365       384       
365       366       384       
382       385       366       
385       384       366       
369       367       386       
383       386       367       
369       386       387       
368       387       370       
369       387       368       
370       388       371       
370       387       388       
371       389       372       
389       371       388       
372       390       373       
390       372       389       
373       391       374       
391       373       390       
374       392       375       
392       374       391       
375       393       376       
393       375       392       
394       395       396       
378       395       397       
378       397       377       
394       397       395       
398       377       397       
398       380       377       
379       380       399       
399       381       379       
398       400       380       
400       399       380       
401       381       399       
382       381       401       
402       401       399       
385       382       403       
382       401       403       
384       404       383       
386       383       404       
403       405       385       
406       404       384       
406       385       405       
385       406       384       
386       407       387       
404       407       386       
388       387       408       
408       387       407       
388       409       389       
409       388       408       
389       410       390       
410       389       409       
390       411       391       
411       390       410       
391       412       392       
412       391       411       
392       413       393       
413       392       412       
394       396       414       
394       414       415       
394       415       397       
398       397       416       
415       416       397       
398       416       400       
417       400       416       
418       399       400       
402       399       418       
419       418       400       
417       419       400       
402       420       401       
403       401       420       
421       420       402       
402       418       421       
405       403       422       
420       422       403       
423       405       422       
406       424       404       
404       424       407       
405       423       424       
405       424       406       
407       425       408       
407       424       425       
408       426       409       
426       408       425       
409       427       410       
427       409       426       
410       428       411       
428       410       427       
411       429       412       
429       411       428       
412       430       413       
430       412       429       
415       414       431       
431       432       415       
432       416       415       
433       416       432       
417       416       433       
417       433       434       
419       417       434       
419       434       435       
419       435       418       
421       418       435       
421       435       436       
421       436       420       
422       420       436       
422       436       437       
423       422       437       
423       438       424       
423       437       438       
425       424       439       
438       439       424       
425       440       426       
